Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,Frecuencia cardiaca máxima,Cadencia de carrera media,Cadencia de carrera máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Dificultad,Fluidez,Brazadas totales,Swolf medio,Velocidad media de palada,Repeticiones totales,Series totales,Tiempo de inmersión,Temperatura mínima,Intervalo en superficie,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Ciclismo virtual,2022-09-09 11:34:24,false,"Zwift - The Long Ride - Extended Tempo in Watopia","66.04","778","02:16:09","--","--","0","0","29.1","37.5","98","--","0.00","0.0","0.0","0","76","131","104","0.0","115","100","151","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:10.01","21","0.0","02:15:32","02:16:09","13","18"
Ciclismo en sala,2022-09-09 11:34:15,false,"Ciclismo en sala","49.99","670","02:15:54","139","156","0","0","22.1","25.9","--","--","0.00","0.0","0.0","0","76","131","--","0.0","--","0","0","0.0","0.0","10412","0","0","0","--","0:00","0.0","0:00","No","02:15:53.94.1","1","0.0","02:15:47","02:16:21","--","--"
Ciclismo en sala,2022-09-08 13:10:27,false,"Ciclismo en sala","15.09","281","00:41:00","155","171","0","0","22.1","32.3","--","--","0.00","0.0","0.0","0","74","110","--","0.0","--","0","0","0.0","0.0","3049","0","0","0","--","0:00","0.0","0:00","No","40:59.86.4","1","0.0","00:40:57","00:41:13","--","--"
Ciclismo virtual,2022-09-08 13:10:26,false,"Zwift - Race: STAGE 1: GET ROLLINGQueen s Highway on Queen s Highway in Yorkshire","18.66","265","00:42:00","--","--","0","0","26.7","55.5","246","--","0.00","0.0","0.0","0","73","99","117","0.0","116","109","218","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","42:00.03","1","0.0","00:41:51","00:41:59","103","133"
Ciclismo virtual,2022-09-08 11:50:36,false,"Zwift - Step-Down Intervals","18.48","313","00:50:14","--","--","0","0","22.1","67.2","312","--","0.00","0.0","0.0","0","79","95","115","0.0","126","108","255","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:15.00","14","0.0","00:50:07","00:50:13","4","133"
Ciclismo en sala,2022-09-08 11:50:29,false,"Ciclismo en sala","20.85","327","00:50:15","150","177","0","0","24.9","30.3","--","--","0.00","0.0","0.0","0","79","95","--","0.0","--","0","0","0.0","0.0","3978","0","0","0","--","0:00","0.0","0:00","No","50:14.85","1","0.0","00:50:10","01:03:16","--","--"
Ciclismo virtual,2022-09-07 11:35:34,false,"Zwift - Low-Cadence Intervals on Road to Sky in France","25.03","313","00:55:35","--","--","0","0","27.0","43.5","138","--","0.00","0.0","0.0","0","68","92","106","0.0","107","98","207","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:00.00","18","0.0","00:54:51","00:55:34","10","34"
Ciclismo virtual,2022-09-07 11:00:03,false,"Zwift - Group Workout: Women Only | Orientation Ride | ZA Road 2022 on Seaside Sprint in Watopia","10.57","155","00:26:24","--","--","0","0","24.0","45.1","84","--","0.00","0.0","0.0","0","90","113","100","0.0","100","95","184","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:15.00","12","0.0","00:26:19","00:26:23","1","23"
Ciclismo en sala,2022-09-07 10:59:00,false,"Ciclismo en sala","33.90","453","01:22:27","143","167","0","0","24.7","33.4","--","--","0.00","0.0","0.0","0","75","114","--","0.0","--","0","0","0.0","0.0","6218","0","0","0","--","0:00","0.0","0:00","No","01:22:26.85.1","1","0.0","01:22:18","01:32:38","--","--"
Ciclismo virtual,2022-09-06 18:00:02,false,"Zwift - Group Workout: Women Only | Orientation Ride | ZA Road 2022 on Seaside Sprint in Watopia","11.06","175","00:30:34","--","--","0","0","21.7","43.8","84","--","0.00","0.0","0.0","0","87","108","103","0.0","107","99","228","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:30.00","12","0.0","00:29:51","00:30:33","1","23"
Ciclismo en sala,2022-09-06 17:58:23,false,"Ciclismo en sala","14.43","191","00:31:41","144","166","0","0","27.3","38.8","--","--","0.00","0.0","0.0","0","87","110","--","0.0","--","0","0","0.0","0.0","2753","0","0","0","--","0:00","0.0","0:00","No","31:40.88.5","1","0.0","00:31:34","00:32:10","--","--"
Ciclismo en sala,2022-09-06 09:13:19,false,"Ciclismo en sala","2.98","49","00:09:14.8","128","139","0","0","19.3","22.7","--","--","0.00","0.0","0.0","0","66","81","--","0.0","--","0","0","0.0","0.0","610","0","0","0","--","0:00","0.0","0:00","No","09:14.78.3","1","0.0","00:09:13","00:09:14.8","--","--"
Ciclismo virtual,2022-09-06 08:11:51,false,"Zwift - Endurance Free Ride in Watopia","21.33","261","01:11:39","--","--","0","0","17.9","44.6","85","--","0.00","0.0","0.0","0","65","94","95","0.0","103","96","222","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:06.95.2","2","0.0","00:51:13","01:11:39","-6","16"
Ciclismo en sala,2022-09-06 08:11:50,false,"Ciclismo en sala","14.93","273","00:40:14","152","173","0","0","22.3","27.7","--","--","0.00","0.0","0.0","0","76","95","--","0.0","--","0","0","0.0","0.0","3063","0","0","0","--","0:00","0.0","0:00","No","40:14.13.2","1","0.0","00:40:10","00:40:14","--","--"
Ciclismo,2022-09-04 07:55:52,false,"Medellín Ciclismo","31.57","889","02:07:02","167","187","0","0","14.9","50.4","966","965","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:00.41.4","2","0.0","02:03:44","03:27:54","1,576","2,561"
Caminar,2022-09-03 14:22:40,false,"Medellín Caminar","1.06","87","00:19:53","122","144","79","159","18:41","10:20","75","2","0.85","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:04.51.3","2","0.0","00:19:34","00:22:18","1,644","1,724"
Caminar,2022-09-03 12:56:39,false,"Medellín Caminar","1.32","53","00:23:43","79","113","53","111","18:00","12:46","2","55","5.12","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","06:16.23.9","2","0.0","00:23:28","00:37:00","1,734","1,793"
Entreno de fuerza,2022-09-02 11:12:40,false,"Fuerza","0.00","87","00:30:16","99","127","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","6","1","0:00","0.0","0:00","No","30:16.00.9","1","0.0","00:30:16","00:30:16","--","--"
Ciclismo virtual,2022-09-02 10:03:54,false,"Indoor","25.18","336","00:56:24","--","--","0","0","26.8","52.5","208","--","0.00","0.0","0.0","0","75","92","110","0.0","119","104","219","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","56:23.99.9","1","0.0","00:56:19","00:56:23","-6","132"
Ciclismo en sala,2022-09-02 10:03:48,false,"Ciclismo en sala","20.71","350","00:56:26","146","177","0","0","22.0","26.7","--","--","0.00","0.0","0.0","0","75","107","--","0.0","--","0","0","0.0","0.0","4238","0","0","0","--","0:00","0.0","0:00","No","56:25.49.9","1","0.0","00:56:23","00:56:26","--","--"
Ciclismo virtual,2022-09-01 11:35:33,false,"Zwift - The Long Ride - Spiked Base Progressive VO2 in Watopia","53.71","692","01:55:17","--","--","0","0","28.0","57.1","418","--","0.00","0.0","0.0","0","84","110","110","0.0","119","104","181","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:18.04","32","0.0","01:55:13","01:55:16","11","83"
Ciclismo en sala,2022-09-01 11:35:31,false,"Ciclismo en sala","44.03","675","01:55:15","150","175","0","0","22.9","28.2","--","--","0.00","0.0","0.0","0","84","145","--","0.0","--","0","0","0.0","0.0","9688","0","0","0","--","0:00","0.0","0:00","No","01:55:15.02.8","1","0.0","01:55:11","01:55:15","--","--"
Entreno de fuerza,2022-08-31 11:23:14,false,"Fuerza","0.00","165","01:02:59","99","136","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","8","1","0:00","0.0","0:00","No","01:02:59.31.3","1","0.0","01:02:59","01:02:59","--","--"
Ciclismo virtual,2022-08-31 09:56:45,false,"Zwift - Make A Break For It in Watopia","25.04","317","00:54:28","--","--","0","0","27.6","50.5","134","--","0.00","0.0","0.0","0","85","135","110","0.0","112","102","207","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:30.00","22","0.0","00:53:52","00:54:28","-6","23"
Ciclismo en sala,2022-08-31 09:56:35,false,"Ciclismo en sala","22.56","325","00:54:07","143","172","0","0","25.0","31.2","--","--","0.00","0.0","0.0","0","85","129","--","0.0","--","0","0","0.0","0.0","4636","0","0","0","--","0:00","0.0","0:00","No","54:06.50","1","0.0","00:54:03","00:54:37","--","--"
Ciclismo virtual,2022-08-30 18:28:02,false,"Indoor","23.29","297","00:50:15","--","--","0","0","27.8","50.8","181","--","0.00","0.0","0.0","0","76","92","105","0.0","109","103","174","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:16.03.1","2","0.0","00:50:11","00:50:14","11","83"
Ciclismo en sala,2022-08-30 18:27:38,false,"Ciclismo en sala","18.71","290","00:50:30","139","152","0","0","22.2","26.3","--","--","0.00","0.0","0.0","0","76","92","--","0.0","--","0","0","0.0","0.0","3828","0","0","0","--","0:00","0.0","0:00","No","50:30.18","1","0.0","00:50:18","00:50:34","--","--"
Entreno de fuerza,2022-08-29 16:07:09,false,"Fuerza","0.00","81","00:32:32","95","117","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","6","1","0:00","0.0","0:00","No","32:31.59.3","1","0.0","00:32:32","00:32:32","--","--"
Ciclismo,2022-08-28 08:21:56,false,"Medellín Ciclismo","23.62","740","01:50:49","165","188","0","0","12.8","47.0","766","763","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:50:49.38","1","0.0","01:46:39","02:20:29","1,748","2,519"
Ciclismo virtual,2022-08-27 12:03:01,false,"Indoor","25.58","354","01:00:38","--","--","0","0","25.3","62.0","193","--","0.00","0.0","0.0","0","75","92","108","0.0","117","102","193","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:00:38.00","1","0.0","01:00:33","01:00:37","-6","100"
Ciclismo en sala,2022-08-27 12:02:52,false,"Ciclismo en sala","21.97","348","01:00:30","141","170","0","0","21.8","26.4","--","--","0.00","0.0","0.0","0","75","92","--","0.0","--","0","0","0.0","0.0","4586","0","0","0","--","0:00","0.0","0:00","No","01:00:29.76.7","1","0.0","01:00:26","01:00:30","--","--"
Ciclismo en sala,2022-08-26 11:56:27,false,"Ciclismo en sala","22.81","350","00:59:59","141","170","0","0","22.8","30.5","--","--","0.00","0.0","0.0","0","84","115","--","0.0","--","0","0","0.0","0.0","5088","0","0","0","--","0:00","0.0","0:00","No","00:00.56.8","2","0.0","00:59:56","00:59:59","--","--"
Ciclismo virtual,2022-08-26 11:56:09,false,"Indoor","28.68","337","01:00:59","--","--","0","0","28.2","50.3","84","--","0.00","0.0","0.0","0","83","114","100","0.0","103","96","227","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:00:58.99.9","1","0.0","01:00:53","01:00:58","-6","28"
Caminar,2022-08-25 18:40:17,false,"Medellín Caminar","1.88","88","00:27:16","94","124","102","137","14:32","9:52","7","121","0.67","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","13:13.54.7","2","0.0","00:27:11","00:28:45","1,588","1,810"
Ciclismo virtual,2022-08-25 11:58:03,false,"Indoor","25.06","302","00:51:42","--","--","0","0","29.1","36.8","38","--","0.00","0.0","0.0","0","83","105","109","0.0","111","102","190","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:00.00","23","0.0","00:51:08","00:51:42","13","18"
Ciclismo en sala,2022-08-25 11:57:52,false,"Ciclismo en sala","20.68","322","00:51:28","147","165","0","0","24.1","29.3","--","--","0.00","0.0","0.0","0","83","105","--","0.0","--","0","0","0.0","0.0","4283","0","0","0","--","0:00","0.0","0:00","No","51:28.37.6","1","0.0","00:51:19","00:51:53","--","--"
Ciclismo en sala,2022-08-24 11:27:07,false,"Ciclismo en sala","34.46","456","01:34:38","134","170","0","0","21.9","26.4","--","--","0.00","0.0","0.0","0","81","102","--","0.0","--","0","0","0.0","0.0","7750","0","0","0","--","0:00","0.0","0:00","No","01:34:37.64.2","1","0.0","01:34:33","01:35:11","--","--"
Ciclismo virtual,2022-08-24 11:26:57,false,"Zwift - The Long Ride - Spiked Base in Watopia","44.95","501","01:35:41","--","--","0","0","28.2","37.3","67","--","0.00","0.0","0.0","0","81","100","98","0.0","107","91","205","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:30.00","16","0.0","01:35:21","01:35:41","13","18"
Entreno de fuerza,2022-08-24 08:37:37,false,"Fuerza","0.00","84","00:39:29","88","109","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","4","1","0:00","0.0","0:00","No","39:28.89.4","1","0.0","00:39:29","00:39:29","--","--"
Ciclismo virtual,2022-08-23 10:06:59,false,"Indoor","28.05","310","01:26:31","--","--","0","0","19.4","43.6","43","--","0.00","0.0","0.0","0","57","108","98","0.0","113","69","239","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:00.00","14","0.0","01:00:52","01:26:31","13","18"
Ciclismo en sala,2022-08-23 10:06:54,false,"Ciclismo en sala","21.96","315","01:01:12","134","179","0","0","21.5","29.9","--","--","0.00","0.0","0.0","0","73","106","--","0.0","--","0","0","0.0","0.0","4486","0","0","0","--","0:00","0.0","0:00","No","01:01:11.72.5","1","0.0","01:01:03","01:26:37","--","--"
Caminar,2022-08-20 19:19:17,false,"Medellín Caminar","1.02","46","00:15:29","95","105","98","124","15:12","10:20","--","65","0.66","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:01.93.5","2","0.0","00:15:21","00:16:32","1,644","1,744"
Ciclismo,2022-08-20 08:11:40,false,"Medellín Ciclismo","23.51","754","01:45:15","169","188","0","0","13.4","50.3","755","760","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:00.34.9","2","0.0","01:44:40","02:35:20","1,745","2,508"
Entreno de fuerza,2022-08-19 13:10:03,false,"Fuerza","0.00","38","00:17:28","86","122","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","23","1","0:00","0.0","0:00","No","17:28.46.3","1","0.0","00:17:28","00:17:28","--","--"
Ciclismo virtual,2022-08-19 11:45:07,false,"Indoor","25.05","294","00:50:17","--","--","0","0","29.9","38.0","38","--","0.00","0.0","0.0","0","81","95","103","0.0","105","102","139","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:18.00","2","0.0","00:50:13","00:50:16","13","18"
Ciclismo en sala,2022-08-19 11:45:00,false,"Ciclismo en sala","19.67","314","00:50:23","143","155","0","0","23.4","25.6","--","--","0.00","0.0","0.0","0","81","97","--","0.0","--","0","0","0.0","0.0","4068","0","0","0","--","0:00","0.0","0:00","No","50:22.86.6","1","0.0","00:50:08","00:50:52","--","--"
Entreno de fuerza,2022-08-17 11:32:07,false,"Fuerza","0.00","89","00:37:57","92","121","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","9","1","0:00","0.0","0:00","No","37:57.46.2","1","0.0","00:37:57","00:37:57","--","--"
Ciclismo virtual,2022-08-17 10:01:57,false,"Indoor","32.43","392","01:10:25","--","--","0","0","27.6","37.5","167","--","0.00","0.0","0.0","0","76","92","98","0.0","104","95","161","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:10:25.00","1","0.0","01:10:20","01:10:24","123","132"
Ciclismo en sala,2022-08-17 10:00:25,false,"Ciclismo en sala","26.80","446","01:11:48","149","168","0","0","22.4","26.5","--","--","0.00","0.0","0.0","0","76","94","--","0.0","--","0","0","0.0","0.0","5479","0","0","0","--","0:00","0.0","0:00","No","01:11:48.29.4","1","0.0","01:11:48","01:11:48","--","--"
Caminar,2022-08-14 18:07:37,false,"Jericó Caminar","0.84","59","00:18:34","101","126","52","159","22:01","7:58","13","4","0.87","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","18:34.11.4","1","0.0","00:17:43","01:08:32","2,005","2,030"
Caminar,2022-08-13 20:08:08,false,"Jericó Caminar","0.54","42","00:11:25","106","142","67","158","21:04","9:10","14","--","0.71","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","11:25.34.6","1","0.0","00:10:47","00:41:09","2,021","2,045"
Caminar,2022-08-12 20:34:43,false,"Medellín Caminar","0.90","74","00:16:35","120","138","86","160","18:29","4:13","60","--","0.63","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","16:35.25.2","1","0.0","00:16:21","00:17:20","1,680","1,742"
Caminar,2022-08-12 19:27:34,false,"Medellín Caminar","0.86","41","00:14:12","100","119","92","120","16:27","12:19","--","63","0.66","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","14:11.51.2","1","0.0","00:14:09","00:15:01","1,666","1,744"
Entreno de fuerza,2022-08-12 12:24:45,false,"Fuerza","0.00","139","00:40:07","110","144","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","16","1","0:00","0.0","0:00","No","40:07.17.7","1","0.0","00:40:07","00:40:07","--","--"
Ciclismo en sala,2022-08-12 11:06:25,false,"Ciclismo en sala","23.30","332","01:00:08","139","165","0","0","23.2","28.2","--","--","0.00","0.0","0.0","0","79","98","--","0.0","--","0","0","0.0","0.0","4804","0","0","0","--","0:00","0.0","0:00","No","01:00:08.29.9","1","0.0","01:00:06","01:00:39","--","--"
Ciclismo virtual,2022-08-12 11:06:21,false,"Indoor","21.21","308","01:00:53","--","--","0","0","20.9","72.0","228","--","0.00","0.0","0.0","0","79","96","95","0.0","97","89","158","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:00.00","20","0.0","01:00:13","01:00:52","3","156"
Entreno de fuerza,2022-08-11 12:18:19,false,"Fuerza","0.00","92","00:34:37","97","123","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","11","1","0:00","0.0","0:00","No","34:36.93.9","1","0.0","00:34:37","00:34:37","--","--"
Ciclismo en sala,2022-08-11 11:03:03,false,"Ciclismo en sala","21.80","394","01:00:12","153","177","0","0","21.7","26.8","--","--","0.00","0.0","0.0","0","74","93","--","0.0","--","0","0","0.0","0.0","4458","0","0","0","--","0:00","0.0","0:00","No","01:00:12.18.6","1","0.0","01:00:10","01:00:12","--","--"
Ciclismo virtual,2022-08-11 11:02:59,false,"Indoor","26.26","350","01:00:21","--","--","0","0","26.1","52.0","207","--","0.00","0.0","0.0","0","74","92","106","0.0","115","100","192","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:00:21.00","1","0.0","01:00:09","01:00:20","-6","132"
Entreno de fuerza,2022-08-10 12:57:35,false,"Fuerza","0.00","89","00:35:45","94","114","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","30","1","0:00","0.0","0:00","No","35:45.13.5","1","0.0","00:35:45","00:35:45","--","--"
Ciclismo virtual,2022-08-10 11:19:28,false,"Indoor","28.05","387","01:13:14","--","--","0","0","23.0","62.0","328","--","0.00","0.0","0.0","0","76","97","108","0.0","140","92","205","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:15.00","16","0.0","01:13:05","01:13:14","1","58"
Ciclismo en sala,2022-08-10 11:19:21,false,"Ciclismo en sala","27.12","478","01:13:21","151","189","0","0","22.2","28.5","--","--","0.00","0.0","0.0","0","75","101","--","0.0","--","0","0","0.0","0.0","5559","0","0","0","--","0:00","0.0","0:00","No","01:13:20.90.4","1","0.0","01:13:14","01:13:52","--","--"
Ciclismo virtual,2022-08-09 11:02:48,false,"Indoor","30.36","415","01:11:09","--","--","0","0","25.6","52.7","223","--","0.00","0.0","0.0","0","74","97","105","0.0","111","101","200","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:11:08.99.9","1","0.0","01:10:24","01:11:08","122","197"
Ciclismo en sala,2022-08-09 11:01:59,false,"Ciclismo en sala","26.14","425","01:10:53","145","163","0","0","22.1","28.3","--","--","0.00","0.0","0.0","0","74","100","--","0.0","--","0","0","0.0","0.0","5314","0","0","0","--","0:00","0.0","0:00","No","01:10:52.68.5","1","0.0","01:10:50","01:11:32","--","--"
Entreno de fuerza,2022-08-09 10:32:49,false,"Fuerza","0.00","62","00:25:27","92","117","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","23","1","0:00","0.0","0:00","No","25:27.20.3","1","0.0","00:25:27","00:25:27","--","--"
Entreno de fuerza,2022-08-08 12:34:28,false,"Fuerza","0.00","86","00:30:40","99","118","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","10","1","0:00","0.0","0:00","No","30:39.56.8","1","0.0","00:30:40","00:30:40","--","--"
Ciclismo virtual,2022-08-08 11:01:51,false,"Indoor","31.14","430","01:10:26","--","--","0","0","26.5","52.8","227","--","0.00","0.0","0.0","0","76","101","106","0.0","108","103","207","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:10:26.00","1","0.0","01:10:21","01:10:26","122","197"
Ciclismo en sala,2022-08-08 10:59:14,false,"Ciclismo en sala","26.96","459","01:12:53","147","162","0","0","22.2","29.2","--","--","0.00","0.0","0.0","0","75","100","--","0.0","--","0","0","0.0","0.0","5514","0","0","0","--","0:00","0.0","0:00","No","01:12:52.87.6","1","0.0","01:12:48","01:12:53","--","--"
Ciclismo virtual,2022-08-06 11:53:16,false,"Indoor","28.11","347","01:01:35","--","--","0","0","27.4","51.8","187","--","0.00","0.0","0.0","0","76","98","101","0.0","105","98","230","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:01:34.99.9","1","0.0","01:01:32","01:01:35","122","191"
Ciclismo en sala,2022-08-06 11:52:55,false,"Ciclismo en sala","22.87","389","01:01:48","146","168","0","0","22.2","28.9","--","--","0.00","0.0","0.0","0","76","102","--","0.0","--","0","0","0.0","0.0","4683","0","0","0","--","0:00","0.0","0:00","No","01:01:48.39.7","1","0.0","01:01:29","01:01:48","--","--"
Entreno de fuerza,2022-08-04 13:15:17,false,"Fuerza","0.00","126","00:37:36","108","142","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","9","1","0:00","0.0","0:00","No","37:36.16.6","1","0.0","00:37:36","00:37:36","--","--"
Ciclismo virtual,2022-08-04 11:53:09,false,"Indoor","26.35","325","01:00:44","--","--","0","0","26.0","43.5","106","--","0.00","0.0","0.0","0","75","90","96","0.0","100","93","168","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:00:44.22.4","1","0.0","01:00:39","01:00:43","-6","16"
Ciclismo en sala,2022-08-04 11:52:12,false,"Ciclismo en sala","22.34","311","01:01:53","131","151","0","0","21.7","26.4","--","--","0.00","0.0","0.0","0","75","91","--","0.0","--","0","0","0.0","0.0","4566","0","0","0","--","0:00","0.0","0:00","No","01:01:53.28.7","1","0.0","01:00:37","01:02:39","--","--"
Ciclismo virtual,2022-08-03 12:01:37,false,"Indoor","30.21","401","01:03:17","--","--","0","0","28.6","44.3","136","--","0.00","0.0","0.0","0","79","99","107","0.0","113","104","213","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:03:17.03.1","1","0.0","01:03:12","01:03:17","10","34"
Ciclismo en sala,2022-08-03 11:56:38,false,"Ciclismo en sala","26.24","421","01:08:13","144","166","0","0","23.1","28.7","--","--","0.00","0.0","0.0","0","77","100","--","0.0","--","0","0","0.0","0.0","5312","0","0","0","--","0:00","0.0","0:00","No","01:08:12.82.5","1","0.0","01:08:11","01:08:13","--","--"
Ciclismo virtual,2022-08-02 12:30:40,false,"Indoor","27.57","314","01:02:11","--","--","0","0","26.6","51.8","81","--","0.00","0.0","0.0","0","74","103","92","0.0","95","90","230","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:02:10.80.5","1","0.0","01:01:15","01:02:10","-6","28"
Ciclismo en sala,2022-08-02 12:29:40,false,"Ciclismo en sala","22.47","324","01:02:07","133","156","0","0","21.7","30.3","--","--","0.00","0.0","0.0","0","74","103","--","0.0","--","0","0","0.0","0.0","4594","0","0","0","--","0:00","0.0","0:00","No","01:02:07.14.5","1","0.0","01:01:26","01:03:03","--","--"
Ciclismo,2022-07-31 06:25:20,false,"Medellín Ciclismo","62.78","1,659","04:16:32","155","188","0","0","14.7","46.0","1,043","1,022","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:16:31.74.7","1","0.0","04:09:02","06:42:48","1,522","2,331"
Ciclismo,2022-07-30 07:29:53,false,"Rionegro Ciclismo","53.64","1,129","02:24:48","169","191","0","0","22.2","58.8","506","517","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:24:47.96.2","1","0.0","02:24:14","03:16:40","2,075","2,297"
Ciclismo virtual,2022-07-27 15:00:39,false,"Indoor","25.11","332","00:58:48","--","--","0","0","25.6","58.8","154","--","0.00","0.0","0.0","0","71","102","103","0.0","110","96","223","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","58:48.44","1","0.0","00:58:26","00:58:47","10","121"
Ciclismo en sala,2022-07-27 14:58:41,false,"Ciclismo en sala","21.39","393","01:00:21","146","177","0","0","21.3","32.3","--","--","0.00","0.0","0.0","0","71","107","--","0.0","--","0","0","0.0","0.0","4293","0","0","0","--","0:00","0.0","0:00","No","01:00:21.15.6","1","0.0","01:00:18","01:00:35","--","--"
Entreno de fuerza,2022-07-26 08:47:50,false,"Fuerza","0.00","189","00:35:15","135","173","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","8","1","0:00","0.0","0:00","No","35:15.28.9","1","0.0","00:35:15","00:35:15","--","--"
Caminar,2022-07-21 15:03:05,false,"Medellín Caminar","0.78","65","00:17:35","112","140","88","159","22:33","10:31","59","--","0.51","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","17:35.32.8","1","0.0","00:17:27","00:18:19","1,678","1,740"
Caminar,2022-07-20 16:22:36,false,"Medellín Caminar","2.25","117","00:39:52","93","127","89","115","17:40","9:01","20","140","0.64","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:59.84.1","3","0.0","00:39:30","00:49:52","1,609","1,741"
