Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Road Cycling,2022-09-23 06:12:24,false,"Bogota, D.C. - Recovery","28.44","312","01:06:09","121","135","2.1","0","0","25.8","41.3","45","52","0.00","0.0","0.0","0","87","105","70","19.8","76","70","124","0.0","0.0","5374","0","0","0","0:00","9.0","0:00","No","09:49.47.6","4","0.0","26","18","34","01:06:04","01:07:54","2,559","2,584"
Road Cycling,2022-09-22 06:05:20,false,"Bogota, D.C. - Pirámide Z5","60.07","958","02:19:52","152","184","4.2","0","0","25.8","64.5","485","469","0.00","0.0","0.0","0","83","110","117","118.4","141","104","252","0.0","0.0","11338","0","0","0","0:00","11.0","0:00","No","00:03.78.8","34","0.0","34","21","45","02:19:45","02:21:42","2,548","2,900"
Road Cycling,2022-09-21 05:59:48,false,"Bogota, D.C. - Fuerza Z3 en llano","71.32","955","02:24:14","144","168","3.9","0","0","29.7","49.5","195","207","0.00","0.0","0.0","0","82","110","104","96.2","123","99","168","0.0","0.0","11496","0","0","0","0:00","8.0","0:00","No","00:30.70.8","12","0.0","33","19","43","02:23:58","02:25:07","2,554","2,634"
Road Cycling,2022-09-20 06:02:52,false,"Bogota, D.C. - Resistencia en llano","54.35","722","01:52:18","137","158","3.4","0","0","29.0","45.0","139","146","0.00","0.0","0.0","0","88","106","98","67.2","105","96","185","0.0","0.0","9541","0","0","0","0:00","11.0","0:00","No","06:02.47.7","8","0.0","32","19","41","01:52:13","01:52:46","2,554","2,652"
Road Cycling,2022-09-18 05:42:15,false,"Bogota, D.C. Road Cycling","140.34","1,883","04:37:05","0","0","2.5","0","0","30.4","63.8","682","676","0.00","0.0","0.0","0","81","113","121","249.7","155","112","360","0.0","0.0","20183","0","0","0","0:00","11.0","0:00","No","07:22.33.8","18","0.0","--","--","--","04:35:31","05:49:32","2,580","2,927"
Road Cycling,2022-09-17 07:04:17,false,"Bogota, D.C. - Resistencia en llano","86.55","1,226","03:03:51","150","172","4.2","0","0","28.2","46.9","239","233","0.00","0.0","0.0","0","89","106","101","115.9","108","99","218","0.0","0.0","16013","0","0","0","0:00","12.0","0:00","No","01:23.73.3","13","0.0","34","21","43","03:03:45","03:15:39","2,558","2,628"
Road Cycling,2022-09-16 05:00:07,false,"Bogota, D.C. - Resistencia con montaña Z4,5","55.62","819","01:59:39","152","182","4.4","0","0","27.9","67.0","347","359","0.00","0.0","0.0","0","85","106","113","94.0","153","105","211","0.0","0.0","9706","0","0","0","0:00","8.0","0:00","No","04:39.00.2","8","0.0","35","22","45","01:59:30","02:01:50","2,567","2,880"
Road Cycling,2022-09-15 05:02:40,false,"Bogota, D.C. - Tempo 3 x 15'","61.36","832","02:03:36","155","178","4.4","0","0","29.8","52.3","165","170","0.00","0.0","0.0","0","91","112","108","88.8","122","104","198","0.0","0.0","10705","0","0","0","0:00","9.0","0:00","No","00:11.08.6","13","0.0","36","18","50","02:03:27","02:04:59","2,556","2,617"
Road Cycling,2022-09-14 06:05:21,false,"Bogota, D.C. - Resistencia en llano","58.85","785","02:01:42","151","171","3.6","0","0","29.0","47.2","156","165","0.00","0.0","0.0","0","89","105","99","73.4","108","96","182","0.0","0.0","10452","0","0","0","0:00","11.0","0:00","No","01:20.49.6","10","0.0","35","21","43","02:01:34","02:02:46","2,536","2,705"
Road Cycling,2022-09-05 05:35:05,false,"Bogota, D.C. - Resistencia en llano","48.96","620","01:44:12","135","156","2.9","0","0","28.2","44.7","121","133","0.00","0.0","0.0","0","87","106","90","52.2","99","89","152","0.0","0.0","8744","0","0","0","0:00","8.0","0:00","No","08:53.54.1","7","0.0","31","18","43","01:44:05","01:45:05","2,520","2,585"
Road Cycling,2022-09-04 06:42:43,false,"Bogota, D.C. Road Cycling","127.45","2,506","05:53:44","155","190","5.0","0","0","21.6","61.9","2,116","2,100","0.00","0.0","0.0","0","79","117","127","353.0","165","122","395","0.0","0.0","24123","0","0","0","0:00","11.0","0:00","No","10:06.62.9","16","0.0","33","13","50","05:51:02","06:48:13","1,239","2,804"
Road Cycling,2022-09-03 06:43:54,false,"Bogota, D.C. - Resistencia con montaña","77.79","1,401","03:08:11","156","187","5.0","0","0","24.8","73.1","994","992","0.00","0.0","0.0","0","81","106","129","195.0","162","119","239","0.0","0.0","14590","0","0","0","0:00","12.0","0:00","No","00:12.14.2","13","0.0","33","19","42","03:08:03","03:24:14","2,552","2,858"
Road Cycling,2022-09-02 05:45:14,false,"Bogota, D.C. - Intervalos 2S 3x4'","66.05","860","02:13:21","143","183","3.9","0","0","29.7","51.0","160","177","0.00","0.0","0.0","0","88","110","118","114.3","123","99","218","0.0","0.0","11240","0","0","0","0:00","10.0","0:00","No","03:57.53.3","19","0.0","33","19","49","02:13:15","02:16:30","2,557","2,679"
Road Cycling,2022-09-01 05:13:27,false,"Bogota, D.C. - Fuerza Z4","58.88","854","02:08:28","147","179","4.0","0","0","27.5","63.9","450","481","0.00","0.0","0.0","0","80","107","112","98.9","112","100","197","0.0","0.0","10060","0","0","0","0:00","11.0","0:00","No","00:53.15.2","12","0.0","33","19","43","02:08:01","02:12:50","2,563","2,809"
Road Cycling,2022-08-31 05:04:19,false,"Bogota, D.C. - Intervalos Hiit","60.48","859","02:10:55","145","179","3.9","0","0","27.7","63.1","440","448","0.00","0.0","0.0","0","84","107","115","106.1","117","101","245","0.0","0.0","10766","0","0","0","0:00","9.0","0:00","No","00:20.00","52","0.0","33","19","46","02:10:41","02:15:22","2,564","2,779"
Road Cycling,2022-08-30 06:04:30,false,"Bogota, D.C. - Resistencia en llano","54.34","733","01:51:47","140","158","3.4","0","0","29.2","47.0","144","151","0.00","0.0","0.0","0","89","107","100","69.4","109","98","221","0.0","0.0","9662","0","0","0","0:00","8.0","0:00","No","04:01.75.9","8","0.0","34","19","42","01:51:44","01:52:16","2,559","2,656"
Road Cycling,2022-08-28 05:37:34,false,"Bogota, D.C. Road Cycling","105.47","1,668","04:18:39","149","185","4.9","0","0","24.5","60.3","1,194","1,151","0.00","0.0","0.0","0","81","113","113","205.5","141","107","369","0.0","0.0","18455","0","0","0","0:00","10.0","0:00","No","01:37.46.3","14","0.0","33","14","48","04:18:22","05:57:46","2,549","3,313"
Road Cycling,2022-08-27 06:33:47,false,"Bogota, D.C. - Resistencia con montaña","117.74","2,014","05:23:09","149","192","5.0","0","0","21.9","64.1","1,648","1,622","0.00","0.0","0.0","0","79","107","115","266.2","156","108","281","0.0","0.0","21674","0","0","0","0:00","10.0","0:00","No","00:15.07.1","16","0.0","32","12","43","05:22:41","07:44:31","1,700","2,793"
Road Cycling,2022-08-25 05:59:46,false,"Bogota, D.C. - Pirámide Z5","48.71","669","01:38:51","147","181","3.7","0","0","29.6","48.2","137","141","0.00","0.0","0.0","0","86","118","119","86.1","130","105","228","0.0","0.0","8097","0","0","0","0:00","9.0","0:00","No","00:30.00","26","0.0","33","14","44","01:38:39","02:14:52","2,563","2,633"
Road Cycling,2022-08-24 15:56:40,false,"Bogota, D.C. - Resistencia en llano Z2-Z3","56.23","774","01:59:36","136","165","3.3","0","0","28.2","46.9","159","159","0.00","0.0","0.0","0","87","103","103","78.2","117","98","182","0.0","0.0","9943","0","0","0","0:00","15.0","0:00","No","01:00.03.2","11","0.0","31","21","43","01:59:21","02:00:10","2,566","2,624"
Road Cycling,2022-08-21 07:23:37,false,"Cajicá Road Cycling","88.46","1,557","03:52:43","147","186","5.0","0","0","22.8","51.5","1,109","1,092","0.00","0.0","0.0","0","81","124","127","230.2","156","124","472","0.0","0.0","14802","0","0","0","0:00","12.0","0:00","No","15:47.29.9","11","0.0","31","14","50","03:52:08","05:13:33","2,572","3,139"
Road Cycling,2022-08-21 05:53:29,false,"Bogota, D.C. Road Cycling","10.50","140","00:26:30","129","147","1.8","0","0","23.8","39.7","28","21","0.00","0.0","0.0","0","84","101","82","10.8","77","80","164","0.0","0.0","2076","0","0","0","0:00","8.0","0:00","No","05:45.47.5","2","0.0","29","24","37","00:26:28","00:29:39","2,575","2,595"
Road Cycling,2022-08-20 07:05:46,false,"Bogota, D.C. - Resistencia con montaña","86.30","1,465","04:00:48","144","187","4.8","0","0","21.5","56.0","889","866","0.00","0.0","0.0","0","78","112","113","189.7","157","102","368","0.0","0.0","16386","0","0","0","0:00","12.0","0:00","No","00:26.53.4","14","0.0","31","15","44","04:00:20","05:52:36","2,576","2,921"
Road Cycling,2022-08-19 16:06:36,false,"Bogota, D.C. - Resistencia en llano","50.86","700","01:55:05","136","154","3.1","0","0","26.5","44.6","143","151","0.00","0.0","0.0","0","86","105","95","63.9","101","94","150","0.0","0.0","9301","0","0","0","0:00","16.0","0:00","No","05:05.08.2","8","0.0","31","19","40","01:54:47","01:57:57","2,569","2,647"
Road Cycling,2022-08-18 16:16:06,false,"Bogota, D.C. - Fuerza Z4","58.46","897","02:22:08","140","174","3.5","0","0","24.7","64.5","438","452","0.00","0.0","0.0","0","77","102","109","103.6","138","100","183","0.0","0.0","10396","0","0","0","0:00","14.0","0:00","No","00:24.50.4","15","0.0","31","16","41","02:21:45","02:28:11","2,570","2,861"
Road Cycling,2022-08-17 16:09:58,false,"Bogota, D.C. - Intervalos","56.02","794","02:07:59","136","177","3.4","0","0","26.3","46.6","156","159","0.00","0.0","0.0","0","83","109","110","96.4","119","97","230","0.0","0.0","9930","0","0","0","0:00","16.0","0:00","No","01:00.00","19","0.0","32","19","48","02:07:43","02:16:56","2,567","2,648"
Road Cycling,2022-08-14 06:06:12,false,"Cartagena Road Cycling","86.51","1,453","02:51:45","170","194","5.0","0","0","30.2","61.6","435","446","0.00","0.0","0.0","0","87","114","148","233.9","172","133","462","0.0","0.0","14221","0","0","0","0:00","24.0","0:00","No","11:23.76.3","11","0.0","38","23","50","02:51:00","03:23:12","-4","85"
Road Cycling,2022-08-14 05:27:25,false,"Cartagena Road Cycling","0.48","5","00:01:54.7","102","108","0.0","0","0","15.0","22.6","1","--","0.00","0.0","0.0","0","94","98","53","0.2","--","62","89","0.0","0.0","99","0","0","0","0:00","26.0","0:00","No","01:54.65.5","1","0.0","25","20","31","00:01:50","00:01:54.7","12","13"
Road Cycling,2022-08-13 05:53:13,false,"Cartagena - Recovery","38.41","499","01:40:55","113","149","2.2","0","0","22.8","36.7","92","86","0.00","0.0","0.0","0","84","106","76","35.9","82","75","161","0.0","0.0","7723","0","0","0","0:00","24.0","0:00","No","04:07.08.9","6","0.0","28","13","40","01:38:52","03:04:34","-17","12"
Road Cycling,2022-08-11 05:56:37,false,"Bogota, D.C. - Fuerza Z3 en llano","56.18","789","02:01:02","135","162","3.5","0","0","27.8","49.1","151","160","0.00","0.0","0.0","0","77","105","104","81.1","120","99","168","0.0","0.0","8943","0","0","0","0:00","10.0","0:00","No","00:53.81","11","0.0","31","17","42","02:00:40","02:01:57","2,554","2,680"
Road Cycling,2022-08-09 16:06:49,false,"Bogota, D.C. - Activaciones","54.17","743","02:07:57","125","165","3.1","0","0","25.4","45.5","138","145","0.00","0.0","0.0","0","84","120","92","66.3","106","87","335","0.0","0.0","10364","0","0","0","0:00","13.0","0:00","No","00:15.00","20","0.0","29","16","38","02:07:47","02:09:36","2,568","2,627"
Road Cycling,2022-08-07 05:42:42,false,"Bogota, D.C. Road Cycling","146.21","2,509","06:11:34","153","187","5.0","0","0","23.6","64.5","1,887","1,882","0.00","0.0","0.0","0","80","111","125","348.0","150","119","373","0.0","0.0","24647","0","0","0","0:00","6.0","0:00","No","03:57.21.2","19","0.0","33","14","46","06:08:28","07:43:06","2,498","3,371"
Road Cycling,2022-08-06 10:19:01,false,"Bogota, D.C. - Resistencia en llano","68.26","981","02:27:48","143","157","3.7","0","0","27.7","48.7","217","197","0.00","0.0","0.0","0","88","103","100","91.9","108","99","170","0.0","0.0","12651","0","0","0","0:00","16.0","0:00","No","04:33.63","10","0.0","32","20","40","02:27:33","02:31:10","2,556","2,655"
Road Cycling,2022-08-05 05:01:14,false,"Bogota, D.C. - Tempo 2 x 20'","54.01","763","01:53:50","141","173","3.8","0","0","28.5","50.9","161","169","0.00","0.0","0.0","0","88","108","107","80.6","125","101","198","0.0","0.0","9609","0","0","0","0:00","10.0","0:00","No","00:22.34.7","11","0.0","34","13","49","01:53:38","01:57:33","2,557","2,640"
Road Cycling,2022-08-04 05:30:59,false,"Bogota, D.C. - Resistencia con montaña Z4,5","55.52","815","02:07:18","147","183","4.1","0","0","26.2","70.3","347","359","0.00","0.0","0.0","0","82","102","108","91.5","144","100","209","0.0","0.0","9825","0","0","0","0:00","9.0","0:00","No","05:00.00","9","0.0","33","19","46","02:07:01","02:11:57","2,561","2,904"
Road Cycling,2022-08-03 06:08:55,false,"Bogota, D.C. - Intervalos Z4-Z2","58.78","811","02:12:03","142","174","3.6","0","0","26.7","47.8","162","168","0.00","0.0","0.0","0","84","112","104","88.6","119","97","200","0.0","0.0","10351","0","0","0","0:00","9.0","0:00","No","01:00.00","47","0.0","33","17","45","02:11:07","02:14:16","2,552","2,613"
Road Cycling,2022-08-02 12:08:53,false,"Bogota, D.C. - Resistencia en llano","46.36","676","01:43:22","130","149","3.2","0","0","26.9","44.8","129","174","0.00","0.0","0.0","0","87","106","100","63.9","108","98","183","0.0","0.0","8673","0","0","0","0:00","13.0","0:00","No","00:41.02.1","8","0.0","31","19","42","01:43:17","01:43:25","2,523","2,630"
Road Cycling,2022-07-31 05:40:55,false,"Bogota, D.C. Road Cycling","170.85","3,271","08:08:13","156","192","5.0","0","0","21.0","66.0","2,434","2,410","0.00","0.0","0.0","0","78","112","115","398.1","152","113","287","0.0","0.0","32924","0","0","0","0:00","10.0","0:00","No","06:27.55","22","0.0","32","17","43","08:07:00","10:55:13","1,844","3,171"
Road Cycling,2022-07-30 06:49:56,false,"Bogota, D.C. - Resistencia en llano","64.21","1,000","02:35:10","145","173","3.7","0","0","24.8","46.8","237","237","0.00","0.0","0.0","0","85","105","100","95.6","110","97","201","0.0","0.0","12723","0","0","0","0:00","12.0","0:00","No","05:09.97.6","10","0.0","32","19","41","02:34:52","04:18:57","2,563","2,698"
Road Cycling,2022-07-29 05:33:26,false,"Bogota, D.C. - Recovery","36.46","461","01:28:31","0","0","2.2","0","0","24.7","44.7","99","97","0.00","0.0","0.0","0","83","101","76","31.3","81","76","166","0.0","0.0","7022","0","0","0","0:00","8.0","0:00","No","10:38.78.3","5","0.0","--","--","--","01:28:22","01:31:51","2,561","2,610"
Road Cycling,2022-07-28 16:18:42,false,"Bogota, D.C. - Intervalos 2S 4x3'","58.98","858","02:10:01","146","180","3.8","0","0","27.2","51.2","146","154","0.00","0.0","0.0","0","80","111","117","109.1","119","99","217","0.0","0.0","10101","0","0","0","0:00","13.0","0:00","No","02:13.98.8","22","0.0","32","19","42","02:09:50","02:14:49","2,555","2,618"
