Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,Frecuencia cardiaca máxima,Cadencia de carrera media,Cadencia de carrera máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Training Stress Score®,Potencia media,Potencia máxima,Dificultad,Fluidez,Brazadas totales,Swolf medio,Velocidad media de palada,Repeticiones totales,Tiempo de inmersión,Temperatura mínima,Intervalo en superficie,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Cardio,2022-08-29 18:34:55,false,"Cardio","0.00","756","01:40:19","127","158","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:40:18.72","1","0.0","00:00:00","01:40:19","--","--"
Cardio,2022-08-26 19:10:47,false,"Cardio","0.00","623","01:34:10","118","153","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:34:10.04.4","1","0.0","00:00:00","01:34:10","--","--"
Cardio,2022-08-25 20:26:52,false,"Cardio","0.00","515","01:11:09","119","156","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:11:09.07.9","1","0.0","00:00:00","01:11:09","--","--"
Cardio,2022-08-24 19:29:56,false,"Cardio","0.00","633","01:51:28","111","147","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:51:28.37.2","1","0.0","00:00:00","01:51:28","--","--"
Cardio,2022-08-23 18:41:55,false,"Cardio","0.00","619","01:49:21","112","146","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:49:20.94.6","1","0.0","00:00:00","01:49:21","--","--"
Cardio,2022-08-22 18:43:10,false,"Cardio","0.00","743","01:38:15","129","163","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:38:15.00.6","1","0.0","00:00:00","01:38:15","--","--"
Cardio,2022-08-19 19:16:43,false,"Cardio","0.00","643","01:34:12","121","153","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:34:11.54.9","1","0.0","00:00:00","01:34:12","--","--"
Cardio,2022-08-18 19:00:17,false,"Cardio","0.00","523","01:39:51","106","147","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:39:51.45.9","1","0.0","00:00:00","01:39:51","--","--"
Cardio,2022-08-17 18:44:03,false,"Cardio","0.00","515","01:49:43","101","153","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:49:42.75.7","1","0.0","00:00:00","01:49:43","--","--"
Cardio,2022-08-16 17:58:30,false,"Cardio","0.00","914","02:30:12","123","161","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","02:30:11.64.7","1","0.0","00:00:00","02:30:12","--","--"
Ciclismo,2022-08-13 16:05:02,false,"Guamo Ciclismo","50.91","1,253","02:34:33","137","175","0","0","19.8","50.9","314","314","0.00","0.0","0.0","0","59","148","0.0","0","0","0.0","0.0","7315","0","0","0","0:00","0.0","0:00","No","04:26.27.9","11","0.0","02:32:59","03:27:32","314","513"
Cardio,2022-08-10 18:38:59,false,"Cardio","0.00","825","01:35:11","134","159","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:35:11.20.8","1","0.0","00:00:00","01:35:11","--","--"
Cardio,2022-08-09 18:13:01,false,"Cardio","0.00","712","01:42:45","123","155","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:42:44.79.1","1","0.0","00:00:00","01:42:45","--","--"
Cardio,2022-08-08 18:41:53,false,"Cardio","0.00","682","01:28:32","130","161","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:28:31.94","1","0.0","00:00:00","01:28:32","--","--"
Remo,2022-07-31 12:36:15,false,"Remo","--","18","00:03:05.3","103","113","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","52","0","0","0","0:00","0.0","0:00","No","03:05.31.7","1","0.0","00:00:00","00:03:05.3","--","--"
Cardio,2022-07-28 19:30:41,false,"Cardio","0.00","965","02:21:32","125","166","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","02:21:32.14.3","1","0.0","00:00:00","02:21:32","--","--"
Cardio,2022-07-23 10:23:31,false,"Cardio","0.00","860","01:44:51","133","163","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:44:51.02.1","1","0.0","00:00:00","01:44:51","--","--"
