Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Road Cycling,2022-09-24 06:42:12,false,"Bogota, D.C. Road Cycling","82.42","2,306","04:35:52","140","181","5.0","0","0","17.9","54.2","2,271","2,243","0.00","0.0","0.0","0","63","154","158","245.3","188","118","574","0.0","0.0","12986","0","0","0","0:00","8.0","0:00","No","05:54.81.5","11","0.0","30","17","42","04:35:19","06:04:57","1,959","3,343"
Road Cycling,2022-09-23 06:15:35,false,"Cajicá - Recovery","36.19","471","01:31:46","99","122","1.5","0","0","23.7","40.9","110","116","0.00","0.0","0.0","0","66","158","82","21.9","76","64","413","0.0","0.0","4944","0","0","0","0:00","10.0","0:00","No","00:02.83.8","7","0.0","19","13","26","01:30:22","01:31:46","2,549","2,584"
Road Cycling,2022-09-22 05:40:31,false,"Cajicá - Resistencia con montaña Z4 (MTB)","39.33","506","01:40:59","99","132","1.6","0","0","23.4","50.2","150","162","0.00","0.0","0.0","0","63","172","88","27.5","74","62","409","0.0","0.0","4981","0","0","0","0:00","7.0","0:00","No","04:27.07.1","6","0.0","20","13","28","01:38:48","01:40:59","2,573","2,615"
Road Cycling,2022-09-21 05:37:56,false,"Cajicá - Pirámide Z6","63.95","1,194","02:27:44","128","180","4.0","0","0","26.0","59.2","614","619","0.00","0.0","0.0","0","72","160","165","143.8","211","115","670","0.0","0.0","8384","0","0","0","0:00","8.0","0:00","No","00:09.95.8","33","0.0","26","14","40","02:27:14","02:35:26","2,558","3,041"
Road Cycling,2022-09-20 05:47:24,false,"Cajicá - Resistencia con montaña","50.75","1,092","02:23:13","128","169","3.7","0","0","21.3","56.5","739","743","0.00","0.0","0.0","0","63","163","150","114.3","175","106","644","0.0","0.0","7060","0","0","0","0:00","8.0","0:00","No","08:13.21.2","8","0.0","26","14","40","02:22:46","02:29:48","2,540","3,054"
Road Cycling,2022-09-19 06:05:04,false,"Cajicá - Resistencia en llano","61.95","968","02:05:25","123","148","2.9","0","0","29.6","48.1","207","215","0.00","0.0","0.0","0","73","146","124","68.2","135","107","456","0.0","0.0","8613","0","0","0","0:00","9.0","0:00","No","00:56.09.4","11","0.0","24","17","35","02:05:10","02:05:37","2,570","2,642"
Road Cycling,2022-09-15 05:28:55,false,"Cajicá - Ramps Up","53.23","982","02:12:21","130","177","3.6","0","0","24.1","54.1","698","705","0.00","0.0","0.0","0","64","145","148","103.0","184","103","428","0.0","0.0","6736","0","0","0","0:00","10.0","0:00","No","01:00.00","22","0.0","27","14","41","02:11:34","02:12:21","2,561","3,014"
Road Cycling,2022-09-14 05:48:24,false,"Cajicá - Resistencia con montaña","46.13","969","02:20:35","123","165","3.2","0","0","19.7","47.1","794","805","0.00","0.0","0.0","0","63","151","148","110.3","160","94","583","0.0","0.0","6465","0","0","0","0:00","9.0","0:00","No","00:17.03.5","10","0.0","25","13","37","02:19:08","02:20:35","2,571","2,839"
Indoor Cycling,2022-09-13 17:32:13,false,"Resistencia (Rodillo)","0.00","398","01:05:07","116","134","2.0","0","0","--","--","--","--","0.00","0.0","0.0","0","71","90","105","21.5","113","99","210","0.0","0.0","3807","0","0","0","0:00","19.0","0:00","No","00:07.12.6","5","0.0","23","17","29","00:00:00","00:55:07","--","--"
Road Cycling,2022-09-11 07:32:50,false,"Cajicá Road Cycling","64.37","1,203","02:30:53","144","187","4.4","0","0","25.6","49.5","777","773","0.00","0.0","0.0","0","75","178","163","142.0","209","112","631","0.0","0.0","8764","0","0","0","0:00","10.0","0:00","No","16:01.52.1","8","0.0","30","15","43","02:30:26","03:34:55","2,577","3,137"
Road Cycling,2022-09-09 05:27:56,false,"Cajicá - Resistencia en llano","59.66","828","02:04:51","118","147","2.6","0","0","28.7","52.8","261","274","0.00","0.0","0.0","0","73","153","114","58.3","119","90","722","0.0","0.0","7880","0","0","0","0:00","4.0","0:00","No","00:38.51.5","10","0.0","24","15","31","02:04:47","02:04:51","2,535","2,589"
Mountain Biking,2022-09-08 06:18:07,false,"Cajicá - Resistencia con montaña Z4 (MTB)","38.09","870","02:27:52","119","141","2.1","0","0","15.5","60.3","654","664","0.00","0.0","0.0","0","60","206","--","0.0","--","0","0","61.3","1.9","8245","0","0","0","0:00","9.0","0:00","No","05:00.00","5","0.0","24","16","31","02:26:41","02:27:52","2,558","3,146"
Road Cycling,2022-09-07 05:19:41,false,"Cajicá - Intervalos Hiit","65.85","1,168","02:34:47","127","168","3.4","0","0","25.5","53.7","665","680","0.00","0.0","0.0","0","68","182","147","120.3","184","107","678","0.0","0.0","8703","0","0","0","0:00","8.0","0:00","No","00:02.42.1","60","0.0","26","15","36","02:34:11","02:34:47","2,499","2,926"
Indoor Cycling,2022-09-06 20:29:18,false,"Resistencia (Rodillo)","20.36","409","00:56:26","115","134","2.0","0","0","21.6","33.4","--","--","0.00","0.0","0.0","0","76","98","109","24.0","118","100","251","0.0","0.0","4074","0","0","0","0:00","19.0","0:00","No","00:12.30.3","5","0.0","23","14","30","00:51:20","00:56:49","--","--"
Road Cycling,2022-09-04 06:49:01,false,"Tenjo Road Cycling","129.91","2,995","05:46:22","141","181","5.0","0","0","22.5","61.1","2,277","2,265","0.00","0.0","0.0","0","69","166","168","350.3","202","123","731","0.0","0.0","19089","0","0","0","0:00","11.0","0:00","No","03:10.66.4","17","0.0","30","13","42","05:45:56","06:42:08","1,185","2,748"
Road Cycling,2022-09-03 06:54:59,false,"Cajicá - Resistencia en llano","93.12","1,448","03:02:37","121","154","3.5","0","0","30.6","56.5","354","356","0.00","0.0","0.0","0","75","177","131","111.8","139","111","622","0.0","0.0","12455","0","0","0","0:00","12.0","0:00","No","00:01.31.5","15","0.0","24","13","34","03:01:55","03:02:37","2,574","2,642"
Road Cycling,2022-09-02 05:44:32,false,"Cajicá Road Cycling","38.94","709","01:40:34","125","186","3.6","0","0","23.2","47.9","480","488","0.00","0.0","0.0","0","64","141","158","89.2","225","96","668","0.0","0.0","4822","0","0","0","0:00","9.0","0:00","No","02:16.83.9","7","0.0","26","15","43","01:40:27","01:44:07","2,571","2,977"
Road Cycling,2022-08-31 05:17:54,false,"Cajicá - Intervalos 2S 3x4' en Z5,5","71.12","1,031","02:12:56","126","167","3.1","0","0","32.1","55.0","192","201","0.00","0.0","0.0","0","74","165","135","86.4","154","109","660","0.0","0.0","9113","0","0","0","0:00","10.0","0:00","No","01:26.66.3","20","0.0","25","13","37","02:12:34","02:12:58","2,558","2,592"
Mountain Biking,2022-08-30 05:59:48,false,"Cajicá - Resistencia con montaña Z4","33.35","764","02:14:40","125","171","2.7","0","0","14.9","37.9","588","605","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","57.8","2.4","--","0","0","0","0:00","6.0","0:00","No","04:37.59.2","5","0.0","24","15","37","02:12:05","02:22:14","2,573","2,958"
Road Cycling,2022-08-28 06:41:29,false,"Cajicá Road Cycling","82.42","1,547","03:06:19","136","178","4.0","0","0","26.5","62.7","1,095","1,075","0.00","0.0","0.0","0","76","157","166","183.5","201","118","655","0.0","0.0","11060","0","0","0","0:00","10.0","0:00","No","02:57.69","11","0.0","27","13","40","03:05:15","04:53:59","2,540","3,303"
Road Cycling,2022-08-27 07:13:24,false,"Tenjo Road Cycling","115.11","2,277","05:15:36","134","184","4.5","0","0","21.9","63.2","1,689","1,648","0.00","0.0","0.0","0","70","215","148","247.3","191","98","700","0.0","0.0","16628","0","0","0","0:00","11.0","0:00","No","07:39.37.7","15","0.0","27","13","40","05:14:45","07:05:31","1,663","2,759"
Road Cycling,2022-08-26 05:11:35,false,"Cajicá - Pirámide Z6","58.45","968","02:34:33","135","177","3.3","0","0","22.7","48.8","608","612","0.00","0.0","0.0","0","67","156","147","107.5","185","96","630","0.0","0.0","7091","0","0","0","0:00","6.0","0:00","No","00:30.00","31","0.0","26","14","39","02:17:51","02:20:48","2,576","3,074"
